,resume_name,candidate_phone,candidate_email,links,tech_skills_score,soft_skills_score,education_score,certificates_score,experience_score
11,CV19.docx,(289) 863-9669,FredStewart@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
20,CV9.docx,(873) 929-6922,CarmenNakata@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
18,CV7.docx,(526) 372-3648,GayleHawkins@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
17,CV6.docx,(685) 682-3747,VirgilRasmussen@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
16,CV5.docx,(937) 794-8772,BonniePelt@gmail.com,['http://caremanager.optum.com'],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
15,CV4.docx,(979) 879-2326,JenniferGillman@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
14,CV3.docx,(786) 324-2395,ClarencePrice@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
13,CV20.docx,(636) 638-4737,JerryBode@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
12,CV2.docx,(922) 679-9797,HelenGrant@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
1,CV1.docx,,,[],1.0,0.9655172413793104,{0.0: []},"{1.0000000000000002: [' IBM Data Science Professional Certificate ', ' Microsoft Certified: Azure Data Scientist Associate ', ' Google Data Analytics Professional Certificate ', ' Cloudera Certified Data Analyst ', ' DataCamp Certified Data Scientist ', ' Python Institute Certified Data Science Associate ', ' Hortonworks Certified Associate (HCA) for Apache Hadoop ', ' SAS Certified Big Data Professional ', ' Amazon Web Services (AWS) Certified Data Analytics - Specialty ']}",{0.0: []}
10,CV18.docx,(745) 483-4946,HowardAnderson@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
9,CV17.docx,,,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
8,CV16.docx,(863) 435-4986,LanceDuffie@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
7,CV15.docx,(545) 885-2686,BettyRedden@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
6,CV14.docx,,LeonDean@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
5,CV13.docx,(433) 686-6674,SusanVillanueva@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
4,CV12.docx,(627) 367-2287,WilliamBaltazar@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
3,CV11.docx,(254) 844-5629,JudyWelch@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
2,CV10.docx,(222) 949-5578,SharaArmour@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},{0.0: []}
19,CV8.docx,(745) 368-7944,DonaldBritt@gmail.com,[],1.0,1.0,{0.0: []},{0.0: []},"{1.0000000000000002: [' Experience with Python programming and data analysis libraries such as Pandas, NumPy, and SciPy ', ' Proficiency in SQL and experience with databases such as MySQL, PostgreSQL, or Oracle ', ' Familiarity with machine learning algorithms and frameworks such as scikit-learn, TensorFlow, or PyTorch ', ' Ability to work with large and complex datasets, and to clean and preprocess data as necessary ', ' Experience with data visualization tools such as Tableau, D3.js, or Matplotlib ', ' Strong problem-solving skills and ability to communicate findings to technical and non-technical stakeholders ', ' Experience with cloud computing platforms such as AWS, Google Cloud Platform, or Azure ', ' Knowledge of statistics and experimental design ', ' Experience with natural language processing (NLP) or computer vision (CV) is a plus ', ' Ability to work independently and as part of a team in a fast-paced, deadline-driven environment ']}"
0,coolfreecv_resume_en_01.docx,+923067326316,imrnazir8@gmail.com,"['https://www.linkedin.com/in/imran-nazir-898b431b4/', 'https://github.com/ImranNazir4', 'https://www.fiverr.com/shalakumalaku', 'https://pypi.org/project/ml-pilot/', 'https://www.linkedin.com/in/imran-nazir-898b431b4/', 'https://github.com/ImranNazir4', 'https://www.fiverr.com/shalakumalaku', 'https://pypi.org/project/ml-pilot/']",0.9666666666666667,0.9655172413793104,"{0.20861942887125068: [' Bachelor of Computer Science ', ' Bachelor of Computer Science ']}",{0.0: []},{0.0: []}
21,Imran_Nazir_002_MPhil_DS_NLP.docx,+923067326316,imrnazir8@gmail.com,"['https://www.linkedin.com/in/imran-nazir-898b431b4/', 'https://github.com/ImranNazir4', 'https://www.fiverr.com/shalakumalaku', 'https://pypi.org/project/ml-pilot/', 'https://www.linkedin.com/in/imran-nazir-898b431b4/', 'https://github.com/ImranNazir4', 'https://www.fiverr.com/shalakumalaku', 'https://pypi.org/project/ml-pilot/']",0.9666666666666667,0.9655172413793104,"{0.20861942887125068: [' Bachelor of Computer Science ', ' Bachelor of Computer Science ']}",{0.0: []},{0.0: []}
